"Year","LGA","Contamination_rate"
"2010","West Wimmera",0.75
"2010","Whitehorse",9.2
"2010","Whittlesea",9.98
"2010","Wodonga",12.59
"2010","Wyndham",7.6
"2010","Yarra",4.38
"2010","Yarra Ranges",11.5
"2010","Yarriambiack",1.66
"2011","Alpine",29.57
"2011","Ararat",9.98
"2011","Ballarat",4.12
"2011","Banyule",8.56
"2011","Bass Coast",24.61
"2011","Baw Baw",8.01
"2011","Bayside",0
"2011","Benalla",10
"2011","Boroondara",0
"2011","Brimbank",15
"2011","Buloke",4.97
"2011","Campaspe",11.32
"2011","Cardinia",17.2
"2011","Casey",7
"2011","Central Goldfields",5
"2011","Colac Otway",0
"2011","Corangamite",14.94
"2011","Darebin",17.17
"2011","East Gippsland",14.14
"2011","Frankston",18.53
"2011","Gannawarra",0
"2011","Glen Eira",0
"2011","Glenelg",34.24
"2011","Golden Plains",6.54
"2011","Greater Bendigo",8.73
"2011","Greater Dandenong",5
"2011","Greater Geelong",7
"2011","Greater Shepparton",0
"2011","Hepburn",0
"2011","Hindmarsh",11.02
"2011","Hobsons Bay",3.1
"2011","Horsham",10.53
"2011","Hume",13.15
"2011","Indigo",3.56
"2011","Kingston",5
"2011","Knox",8.9
"2011","Latrobe",18.97
"2011","Loddon",0
"2011","Macedon Ranges",0
"2011","Manningham",0
"2011","Mansfield",11.23
"2011","Maribyrnong",20.98
"2011","Maroondah",9
"2011","Melbourne",9.99
"2011","Melton",4.26
"2011","Mildura",21.37
"2011","Mitchell",0
"2011","Moira",0
"2011","Monash",4
"2011","Moonee Valley",9.99
"2011","Moorabool",3
"2011","Moreland",2.86
"2011","Mornington Peninsula",7
"2011","Mount Alexander",5.06
"2011","Moyne",7.08
"2011","Murrindindi",2.29
"2011","Nillumbik",12
"2011","Northern Grampians",15.66
"2011","Port Phillip",11
"2011","Pyrenees",10.17
"2011","Queenscliffe",0
"2011","South Gippsland",8.18
"2011","Southern Grampians",14.97
"2011","Stonnington",2.92
"2011","Strathbogie",0
"2011","Surf Coast",0
"2011","Swan Hill",7.8
"2011","Towong",8.05
"2011","Wangaratta",9.29
"2011","Warrnambool",13.22
"2011","Wellington",6.13
"2011","West Wimmera",0.31
"2011","Whitehorse",8.4
"2011","Whittlesea",13.15
"2011","Wodonga",18.98
"2011","Wyndham",10.7
"2011","Yarra",4.85
"2011","Yarra Ranges",12.24
"2011","Yarriambiack",1.26
"2012","Alpine",27.09
"2012","Ararat",25
"2012","Ballarat",16
"2012","Banyule",7.74
"2012","Bass Coast",29.42
"2012","Baw Baw",6.15
"2012","Bayside",0
"2012","Benalla",10.81
"2012","Boroondara",0
"2012","Brimbank",13
"2012","Buloke",0
"2012","Campaspe",0
"2012","Cardinia",0
"2012","Casey",7.42
"2012","Central Goldfields",5
"2012","Colac Otway",0
"2012","Corangamite",14.97
"2012","Darebin",0
"2012","East Gippsland",18.11
"2012","Frankston",8.51
"2012","Gannawarra",7.53
"2012","Glen Eira",0
"2012","Glenelg",22.12
"2012","Golden Plains",6.53
"2012","Greater Bendigo",8.64
"2012","Greater Dandenong",5
"2012","Greater Geelong",7
"2012","Greater Shepparton",0
"2012","Hepburn",21.18
"2012","Hindmarsh",2.19
"2012","Hobsons Bay",0
"2012","Horsham",9.64
"2012","Hume",19.75
"2012","Indigo",0
"2012","Kingston",5.39
"2012","Knox",6.91
"2012","Latrobe",7.41
"2012","Loddon",3.33
"2012","Macedon Ranges",8.02
"2012","Manningham",0
"2012","Mansfield",8.56
"2012","Maribyrnong",0
"2012","Maroondah",6.07
"2012","Melbourne",9.57
"2012","Melton",8
"2012","Mildura",0
"2012","Mitchell",0
"2012","Moira",0
"2012","Monash",2.92
"2012","Moonee Valley",18.03
"2012","Moorabool",8
"2012","Moreland",14.11
"2012","Mornington Peninsula",0
"2012","Mount Alexander",4.99
"2012","Moyne",9.82
"2012","Murrindindi",1.95
"2012","Nillumbik",12
"2012","Northern Grampians",12
"2012","Port Phillip",10.3
"2012","Pyrenees",10
"2012","Queenscliffe",0
"2012","South Gippsland",8
"2012","Southern Grampians",18.21
"2012","Stonnington",3
"2012","Strathbogie",0
"2012","Surf Coast",0
"2012","Swan Hill",33.24
"2012","Towong",8.05
"2012","Wangaratta",6.27
"2012","Warrnambool",15.01
"2012","Wellington",0
"2012","West Wimmera",0
"2012","Whitehorse",8.39
"2012","Whittlesea",12.7
"2012","Wodonga",17.4
"2012","Wyndham",1.32
"2012","Yarra",8.01
"2012","Yarra Ranges",8.34
"2012","Yarriambiack",1.49
"2013","Alpine",4.09
"2013","Ararat",4.99
"2013","Ballarat",15.92
"2013","Banyule",6.73
"2013","Bass Coast",35.16
"2013","Baw Baw",9.87
"2013","Bayside",0
"2013","Benalla",9.37
"2013","Boroondara",0
"2013","Brimbank",17.5
"2013","Buloke",0
"2013","Campaspe",0
"2013","Cardinia",0
"2013","Casey",1.86
"2013","Central Goldfields",5
"2013","Colac Otway",10.5
"2013","Corangamite",13.02
"2013","Darebin",0
"2013","East Gippsland",18.05
"2013","Frankston",4.35
"2013","Gannawarra",8.41
"2013","Glen Eira",0
"2013","Glenelg",34.33
"2013","Golden Plains",6.26
"2013","Greater Bendigo",7.86
"2013","Greater Dandenong",0
"2013","Greater Geelong",0
"2013","Greater Shepparton",0
"2013","Hepburn",10
"2013","Hindmarsh",11.51
"2013","Hobsons Bay",0
"2013","Horsham",18.7
"2013","Hume",11.6
"2013","Indigo",0
"2013","Kingston",6
"2013","Knox",2.91
"2013","Latrobe",10.97
"2013","Loddon",0
"2013","Macedon Ranges",7.99
"2013","Manningham",0
"2013","Mansfield",10
"2013","Maribyrnong",0
"2013","Maroondah",9.81
"2013","Melbourne",18.7
"2013","Melton",7
"2013","Mildura",0
"2013","Mitchell",0
"2013","Moira",0
"2013","Monash",0
"2013","Moonee Valley",12.05
"2013","Moorabool",7.62
"2013","Moreland",15.21
"2013","Mornington Peninsula",0
"2013","Mount Alexander",10.03
"2013","Moyne",11.31
"2013","Murrindindi",0
"2013","Nillumbik",0
"2013","Northern Grampians",5.1
"2013","Port Phillip",13.7
"2013","Pyrenees",7.41
"2013","Queenscliffe",0
"2013","South Gippsland",8
"2013","Southern Grampians",0
"2013","Stonnington",0.9
"2013","Strathbogie",0
"2013","Surf Coast",0
"2013","Swan Hill",24.12
"2013","Towong",0
"2013","Wangaratta",4.23
"2013","Warrnambool",0
"2013","Wellington",10
"2013","West Wimmera",0
"2013","Whitehorse",8.4
"2013","Whittlesea",14.3
"2013","Wodonga",9.32
"2013","Wyndham",0
"2013","Yarra",7.72
"2013","Yarra Ranges",9.87
"2013","Yarriambiack",6.54
"2014","Alpine",4.01
"2014","Ararat",0
"2014","Ballarat",16
"2014","Banyule",7.19
"2014","Bass Coast",30.34
"2014","Baw Baw",9.93
"2014","Bayside",0
"2014","Benalla",0.95
"2014","Boroondara",2.5
"2014","Brimbank",51.3
"2014","Buloke",0
"2014","Campaspe",0
"2014","Cardinia",0
"2014","Casey",0
"2014","Central Goldfields",5.01
"2014","Colac Otway",8
"2014","Corangamite",0.02
"2014","Darebin",0
"2014","East Gippsland",8.68
"2014","Frankston",8.51
"2014","Gannawarra",0
"2014","Glen Eira",0
"2014","Glenelg",23.61
"2014","Golden Plains",0
"2014","Greater Bendigo",8.67
"2014","Greater Dandenong",0
"2014","Greater Geelong",0
"2014","Greater Shepparton",0
"2014","Hepburn",0
"2014","Hindmarsh",18
"2014","Hobsons Bay",3.53
"2014","Horsham",20.46
"2014","Hume",10.22
"2014","Indigo",0
"2014","Kingston",5.84
"2014","Knox",2.94
"2014","Latrobe",11.62
"2014","Loddon",0
"2014","Macedon Ranges",0
"2014","Manningham",0
"2014","Mansfield",8.7
"2014","Maribyrnong",0
"2014","Maroondah",0
"2014","Melbourne",13.6
"2014","Melton",7.5
"2014","Mildura",0
"2014","Mitchell",0
"2014","Moira",0
"2014","Monash",0
"2014","Moonee Valley",10
"2014","Moorabool",7.36
"2014","Moreland",14.59
"2014","Mornington Peninsula",0
"2014","Mount Alexander",9.98
"2014","Moyne",100
"2014","Murrindindi",0
"2014","Nillumbik",0
"2014","Northern Grampians",0
"2014","Port Phillip",11
"2014","Pyrenees",13.16
"2014","Queenscliffe",0
"2014","South Gippsland",8
"2014","Southern Grampians",0
"2014","Stonnington",3.08
"2014","Strathbogie",0
"2014","Surf Coast",0
"2014","Swan Hill",26.24
"2014","Towong",8
"2014","Wangaratta",5.87
"2014","Warrnambool",17.09
"2014","Wellington",10
"2014","West Wimmera",10
"2014","Whitehorse",8.4
"2014","Whittlesea",15.8
"2014","Wodonga",20.01
"2014","Wyndham",0
"2014","Yarra",7.7
"2014","Yarra Ranges",12.19
"2014","Yarriambiack",4.29
"2015","Alpine",6.35
"2015","Ararat",0
"2015","Ballarat",2.5
"2015","Banyule",8
"2015","Bass Coast",29.12
"2015","Baw Baw",8.3
"2015","Bayside",0
"2015","Benalla",0
"2015","Boroondara",2.5
"2015","Brimbank",20.4
"2015","Buloke",0
"2015","Campaspe",0
"2015","Cardinia",0
"2015","Casey",0
"2015","Central Goldfields",5
"2015","Colac Otway",8.04
"2015","Corangamite",21.8
"2015","Darebin",13.79
"2015","East Gippsland",4
"2015","Frankston",4.35
"2015","Gannawarra",0
"2015","Glen Eira",0
"2015","Glenelg",16.02
"2015","Golden Plains",6.11
"2015","Greater Bendigo",9.45
"2015","Greater Dandenong",12.59
"2015","Greater Geelong",0
"2015","Greater Shepparton",0
"2015","Hepburn",25.32
"2015","Hindmarsh",18.55
"2015","Hobsons Bay",6.49
"2015","Horsham",19.02
"2015","Hume",10.5
"2015","Indigo",0
"2015","Kingston",6
"2015","Knox",3.59
"2015","Latrobe",11.17
"2015","Loddon",0
"2015","Macedon Ranges",0
"2015","Manningham",0
"2015","Mansfield",8.8
"2015","Maribyrnong",0
"2015","Maroondah",12.57
"2015","Melbourne",10.3
"2015","Melton",6.99
"2015","Mildura",0
"2015","Mitchell",0
"2015","Moira",0
"2015","Monash",0
"2015","Moonee Valley",6.71
"2015","Moorabool",6.77
"2015","Moreland",14.72
"2015","Mornington Peninsula",0
"2015","Mount Alexander",0
"2015","Moyne",0
"2015","Murrindindi",0
"2015","Nillumbik",0
"2015","Northern Grampians",0
"2015","Port Phillip",15.51
"2015","Pyrenees",100
"2015","Queenscliffe",0
"2015","South Gippsland",7.98
"2015","Southern Grampians",0
"2015","Stonnington",1.7
"2015","Strathbogie",0
"2015","Surf Coast",0
"2015","Swan Hill",19.99
"2015","Towong",0
"2015","Wangaratta",4.27
"2015","Warrnambool",0
"2015","Wellington",8.67
"2015","West Wimmera",12.86
"2015","Whitehorse",9.61
"2015","Whittlesea",13.2
"2015","Wodonga",10.69
"2015","Wyndham",0
"2015","Yarra",7.53
"2015","Yarra Ranges",12.58
"2015","Yarriambiack",2.83
"2016","Alpine",4.2
"2016","Ararat",0
"2016","Ballarat",2.94
"2016","Banyule",6.6
"2016","Bass Coast",14
"2016","Baw Baw",7.8
"2016","Bayside",0
"2016","Benalla",0
"2016","Boroondara",0
"2016","Brimbank",21.31
"2016","Buloke",0
"2016","Campaspe",0
"2016","Cardinia",0
"2016","Casey",0
"2016","Central Goldfields",5.01
"2016","Colac Otway",0
"2016","Corangamite",0
"2016","Darebin",14
"2016","East Gippsland",0
"2016","Frankston",4.35
"2016","Gannawarra",0
"2016","Glen Eira",0
"2016","Glenelg",19.6
"2016","Golden Plains",0
"2016","Greater Bendigo",10.33
"2016","Greater Dandenong",13.48
"2016","Greater Geelong",0
"2016","Greater Shepparton",0
"2016","Hepburn",25.32
"2016","Hindmarsh",17.88
"2016","Hobsons Bay",6.44
"2016","Horsham",0
"2016","Hume",9.99
"2016","Indigo",0
"2016","Kingston",6
"2016","Knox",16.06
"2016","Latrobe",0
"2016","Loddon",0
"2016","Macedon Ranges",0
"2016","Manningham",0
"2016","Mansfield",0
"2016","Maribyrnong",0
"2016","Maroondah",13.47
"2016","Melbourne",10.3
"2016","Melton",0
"2016","Mildura",3.99
"2016","Mitchell",0
"2016","Moira",0
"2016","Monash",0
"2016","Moonee Valley",0
"2016","Moorabool",6.37
"2016","Moreland",17.33
"2016","Mornington Peninsula",0
"2016","Mount Alexander",0
"2016","Moyne",0
"2016","Murrindindi",0
"2016","Nillumbik",0
"2016","Northern Grampians",0
"2016","Port Phillip",11.9
"2016","Pyrenees",13.16
"2016","Queenscliffe",0
"2016","South Gippsland",7.99
"2016","Southern Grampians",0
"2016","Stonnington",0
"2016","Strathbogie",6.6
"2016","Surf Coast",0
"2016","Swan Hill",13.95
"2016","Towong",0
"2016","Wangaratta",0
"2016","Warrnambool",0
"2016","Wellington",8.67
"2016","West Wimmera",2.55
"2016","Whitehorse",6.59
"2016","Whittlesea",12.3
"2016","Wodonga",10.2
"2016","Wyndham",0
"2016","Yarra",8.03
"2016","Yarra Ranges",6.6
"2016","Yarriambiack",2.18
"2017","Alpine",0
"2017","Ararat",0
"2017","Ballarat",16
"2017","Banyule",7.07
"2017","Bass Coast",6
"2017","Baw Baw",7.8
"2017","Bayside",0
"2017","Benalla",0
"2017","Boroondara",13.6
"2017","Brimbank",13.7
"2017","Buloke",0
"2017","Campaspe",0
"2017","Cardinia",0
"2017","Casey",0
"2017","Central Goldfields",5
"2017","Colac Otway",0
"2017","Corangamite",21.44
"2017","Darebin",13.6
"2017","East Gippsland",3.01
"2017","Frankston",4.35
"2017","Gannawarra",0
"2017","Glen Eira",0
"2017","Glenelg",19.1
"2017","Golden Plains",0
"2017","Greater Bendigo",25.7
"2017","Greater Dandenong",13.48
"2017","Greater Geelong",0
"2017","Greater Shepparton",3.94
"2017","Hepburn",25.32
"2017","Hindmarsh",18
"2017","Hobsons Bay",3.95
"2017","Horsham",0
"2017","Hume",4.08
"2017","Indigo",0
"2017","Kingston",7
"2017","Knox",16.2
"2017","Latrobe",11.99
"2017","Loddon",0
"2017","Macedon Ranges",0
"2017","Manningham",0
"2017","Mansfield",4.39
"2017","Maribyrnong",6.5
"2017","Maroondah",10.08
"2017","Melbourne",5.1
"2017","Melton",0
"2017","Mildura",2.41
"2017","Mitchell",6.6
"2017","Moira",0
"2017","Monash",0
"2017","Moonee Valley",0
"2017","Moorabool",6.74
"2017","Moreland",17.32
"2017","Mornington Peninsula",0
"2017","Mount Alexander",0
"2017","Moyne",0
"2017","Murrindindi",6.6
"2017","Nillumbik",0
"2017","Northern Grampians",0
"2017","Port Phillip",8.61
"2017","Pyrenees",0
"2017","Queenscliffe",0
"2017","South Gippsland",7.98
"2017","Southern Grampians",0
"2017","Stonnington",4.25
"2017","Strathbogie",6.26
"2017","Surf Coast",0
"2017","Swan Hill",12
"2017","Towong",0
"2017","Wangaratta",10.64
"2017","Warrnambool",0
"2017","Wellington",8.68
"2017","West Wimmera",2.97
"2017","Whitehorse",9.19
"2017","Whittlesea",15.38
"2017","Wodonga",8.33
"2017","Wyndham",12.56
"2017","Yarra",6.13
"2017","Yarra Ranges",6.6
"2017","Yarriambiack",2.15
"2018","Alpine",9.75
"2018","Ararat",6.5
"2018","Ballarat",13.6
"2018","Banyule",5.27
"2018","Bass Coast",6
"2018","Baw Baw",7.8
"2018","Bayside",12.63
"2018","Benalla",5.21
"2018","Boroondara",13.6
"2018","Brimbank",13.79
"2018","Buloke",5.54
"2018","Campaspe",13.93
"2018","Cardinia",11
"2018","Casey",10.71
"2018","Central Goldfields",5
"2018","Colac Otway",6.69
"2018","Corangamite",9.75
"2018","Darebin",8.69
"2018","East Gippsland",4
"2018","Frankston",4.35
"2018","Gannawarra",10.71
"2018","Glen Eira",10.71
"2018","Glenelg",26.76
"2018","Golden Plains",12.92
"2018","Greater Bendigo",14.64
"2018","Greater Dandenong",13.7
"2018","Greater Geelong",8.3
"2018","Greater Shepparton",10.71
"2018","Hepburn",10.7
"2018","Hindmarsh",18
"2018","Hobsons Bay",4.02
"2018","Horsham",10.71
"2018","Hume",10.93
"2018","Indigo",8.84
"2018","Kingston",10.71
"2018","Knox",20
"2018","Latrobe",12.59
"2018","Loddon",10.74
"2018","Macedon Ranges",10.7
"2018","Manningham",6.1
"2018","Mansfield",3.37
"2018","Maribyrnong",6.6
"2018","Maroondah",12.87
"2018","Melbourne",10.01
"2018","Melton",11.39
"2018","Mildura",6.3
"2018","Mitchell",6.6
"2018","Moira",10.7
"2018","Monash",3
"2018","Moonee Valley",13.6
"2018","Moorabool",6.6
"2018","Moreland",14.07
"2018","Mornington Peninsula",10.71
"2018","Mount Alexander",10.69
"2018","Moyne",10.73
"2018","Murrindindi",6.6
"2018","Nillumbik",12.56
"2018","Northern Grampians",10.71
"2018","Port Phillip",11.56
"2018","Pyrenees",10.71
"2018","Queenscliffe",10.71
"2018","South Gippsland",8
"2018","Southern Grampians",5.99
"2018","Stonnington",10.94
"2018","Strathbogie",5.83
"2018","Surf Coast",6.1
"2018","Swan Hill",12
"2018","Towong",10.67
"2018","Wangaratta",19.28
"2018","Warrnambool",13
"2018","Wellington",8.68
"2018","West Wimmera",10.76
"2018","Whitehorse",6.6
"2018","Whittlesea",21.28
"2018","Wodonga",9.7
"2018","Wyndham",10.71
"2018","Yarra",6.6
"2018","Yarra Ranges",6.6
"2018","Yarriambiack",6.5
"2019","Alpine",8.4
"2019","Ararat",31.43
"2019","Ballarat",16
"2019","Banyule",6.6
"2019","Bass Coast",6
"2019","Baw Baw",12.76
"2019","Bayside",11.1
"2019","Benalla",12.85
"2019","Boroondara",10.54
"2019","Brimbank",23.35
"2019","Buloke",10.87
"2019","Campaspe",13.88
"2019","Cardinia",9.91
"2019","Casey",6.45
"2019","Central Goldfields",5
"2019","Colac Otway",10.03
"2019","Corangamite",9.75
"2019","Darebin",10
"2019","East Gippsland",9.94
"2019","Frankston",4.35
"2019","Gannawarra",6.76
"2019","Glen Eira",10.63
"2019","Glenelg",26.76
"2019","Golden Plains",12.93
"2019","Greater Bendigo",13.99
"2019","Greater Dandenong",10.85
"2019","Greater Geelong",7.5
"2019","Greater Shepparton",11.5
"2019","Hepburn",31.37
"2019","Hindmarsh",18
"2019","Hobsons Bay",4.13
"2019","Horsham",14.08
"2019","Hume",11.95
"2019","Indigo",7.73
"2019","Kingston",10.49
"2019","Knox",6.6
"2019","Latrobe",21.01
"2019","Loddon",10.99
"2019","Macedon Ranges",6.61
"2019","Manningham",6.44
"2019","Mansfield",13.86
"2019","Maribyrnong",8.67
"2019","Maroondah",11.08
"2019","Melbourne",12
"2019","Melton",16.23
"2019","Mildura",5.22
"2019","Mitchell",13.92
"2019","Moira",11.03
"2019","Monash",7
"2019","Moonee Valley",6.59
"2019","Moorabool",7.07
"2019","Moreland",6.6
"2019","Mornington Peninsula",15.4
"2019","Mount Alexander",6.6
"2019","Moyne",17.65
"2019","Murrindindi",7.68
"2019","Nillumbik",13.6
"2019","Northern Grampians",27.61
"2019","Port Phillip",10
"2019","Pyrenees",23.52
"2019","Queenscliffe",2.62
"2019","South Gippsland",8
"2019","Southern Grampians",6.6
"2019","Stonnington",10.68
"2019","Strathbogie",6.19
"2019","Surf Coast",11.38
"2019","Swan Hill",15.8
"2019","Towong",3.6
"2019","Wangaratta",14.87
"2019","Warrnambool",14.69
"2019","Wellington",7.48
"2019","West Wimmera",10.66
"2019","Whitehorse",6.6
"2019","Whittlesea",18.62
"2019","Wodonga",8.39
"2019","Wyndham",6.6
"2019","Yarra",13
"2019","Yarra Ranges",6.58
"2019","Yarriambiack",20
